,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Temp,Wind Speed
0,Rikitea,100,PF,1563644807,54,-23.12,-134.97,66.76,7.45
1,Punta Arenas,75,CL,1563644787,80,-53.16,-70.91,35.4,8.05
2,Maunabo,75,PR,1563644932,79,18.01,-65.9,82.0,4.7
3,Jamestown,55,AU,1563644796,91,-33.21,138.6,49.48,10.51
4,Mataura,100,NZ,1563644932,98,-46.19,168.86,48.0,1.99
5,Ushuaia,20,AR,1563644773,59,-54.81,-68.31,37.4,3.36
6,Hilo,1,US,1563644933,88,19.71,-155.08,74.25,4.7
7,Sao Filipe,26,CV,1563644933,81,14.9,-24.5,73.06,19.08
8,Hobart,0,AU,1563644745,62,-42.88,147.33,49.75,12.75
9,Georgetown,75,GY,1563644813,83,6.8,-58.16,80.6,4.7
10,Samarai,73,PG,1563644902,91,-10.62,150.67,70.36,4.03
11,Siocon,28,PH,1563644934,84,11.03,124.04,77.38,1.01
12,Dunedin,100,NZ,1563644934,99,-45.87,170.5,48.99,13.85
13,Shingu,98,JP,1563644836,98,33.72,135.99,69.1,5.95
14,Upernavik,100,GL,1563644755,95,72.79,-56.15,43.9,11.97
15,Nuuk,40,GL,1563644935,59,64.17,-51.74,60.8,10.29
16,Bijawar,0,IN,1563644935,49,24.62,79.49,88.72,3.74
17,Flinders,0,AU,1563644935,75,-34.58,150.85,45.75,6.93
18,Quibdo,75,CO,1563644935,74,5.69,-76.66,86.0,5.82
19,Chipinge,0,ZW,1563644935,15,-20.19,32.62,62.62,4.34
20,Tazmalt,40,DZ,1563644936,78,36.39,4.4,82.4,8.05
21,Chuy,67,UY,1563644754,83,-33.69,-53.46,63.7,6.93
22,Cape Town,20,ZA,1563644820,70,-33.93,18.42,50.38,8.05
23,Senanga,0,ZM,1563644936,19,-16.1,23.3,64.78,4.5
24,Massakory,1,TD,1563644936,54,13.0,15.73,85.84,8.16
25,Arraial do Cabo,40,BR,1563644851,69,-22.97,-42.02,73.4,16.11
26,Hualmay,78,PE,1563644937,82,-11.1,-77.61,62.08,8.03
27,Bredasdorp,71,ZA,1563644809,87,-34.53,20.04,44.82,4.7
28,Kununurra,16,AU,1563644937,82,-15.77,128.74,60.8,3.36
29,Don Benito,0,ES,1563644937,19,38.95,-5.86,97.0,5.99
30,Ponta do Sol,20,BR,1563644809,48,-20.63,-46.0,69.28,8.55
31,Bluff,12,AU,1563644938,84,-23.58,149.07,54.52,8.86
32,Codrington,90,AU,1563644938,100,-28.95,153.24,48.43,5.82
33,Souillac,90,FR,1563644938,61,45.6,-0.6,77.74,16.11
34,Podor,0,MR,1563644938,31,16.65,-14.96,104.0,2.24
35,Mahajanga,20,MG,1563644939,78,-15.72,46.32,75.2,6.93
36,Puerto Ayora,40,EC,1563644867,69,-0.74,-90.35,73.71,16.11
37,Chokurdakh,0,RU,1563644870,61,70.62,147.9,46.24,16.58
38,Ilulissat,75,GL,1563644939,62,69.22,-51.1,51.8,5.82
39,Tasiilaq,40,GL,1563644822,66,65.61,-37.64,51.8,4.7
40,Tiznit,4,MA,1563644940,91,29.7,-9.73,68.74,8.75
41,Aklavik,90,CA,1563644940,93,68.22,-135.01,58.26,10.02
42,Sabang,100,PH,1563644940,87,13.8,121.11,82.0,1.01
43,Narsaq,40,GL,1563644940,62,60.91,-46.05,59.0,6.93
44,Qaanaaq,99,GL,1563644940,81,77.48,-69.36,41.92,3.24
45,Hermanus,99,ZA,1563644791,87,-34.42,19.24,47.21,1.99
46,Port Alfred,93,ZA,1563644800,74,-33.59,26.89,53.01,5.99
47,Elko,1,US,1563644935,23,40.83,-115.76,78.55,5.82
48,Torbay,75,CA,1563644941,71,47.66,-52.73,57.15,13.87
49,Atuona,4,PF,1563644825,75,-9.8,-139.03,80.08,11.03
50,Norman Wells,75,CA,1563644941,68,65.28,-126.83,69.8,5.82
51,Kapaa,90,US,1563644762,74,22.08,-159.32,77.63,13.87
52,Ambon,20,FR,1563644942,60,47.55,-2.56,69.93,12.75
53,Dawlatabad,0,AF,1563644942,14,36.41,64.91,93.58,16.89
54,Torre-Pacheco,0,ES,1563644942,45,37.74,-0.95,86.86,12.75
55,Poli,77,CM,1563644942,82,8.48,13.24,75.4,0.47
56,Tiksi,90,RU,1563644859,79,71.64,128.87,41.38,0.4
57,Pevek,100,RU,1563644753,96,69.7,170.27,32.2,6.2
58,Sungaipenuh,60,ID,1563644943,94,-2.08,101.38,70.72,3.56
59,Erenhot,12,CN,1563644943,31,43.65,111.97,79.36,8.34
60,Olot,20,ES,1563644943,61,42.18,2.49,80.15,14.99
61,East London,20,ZA,1563644944,76,-33.02,27.91,48.2,16.11
62,Almaznyy,0,RU,1563644944,36,48.03,40.04,80.6,6.71
63,Yaan,48,NG,1563644944,90,7.38,8.57,76.3,4.32
64,Kandrian,100,PG,1563644945,96,-6.21,149.55,73.06,8.3
65,Guerrero Negro,39,MX,1563644945,86,27.97,-114.04,64.42,15.17
66,Sitka,0,US,1563644815,34,37.17,-99.65,98.01,14.0
67,Busselton,73,AU,1563644760,66,-33.64,115.35,55.62,27.22
68,Khatanga,0,RU,1563644861,56,71.98,102.47,64.96,9.1
69,Dawson Creek,40,CA,1563644945,72,55.76,-120.23,63.46,4.7
70,Semporna,75,MY,1563644946,94,4.48,118.61,75.2,5.82
71,Lebu,96,ET,1563644819,91,8.96,38.73,55.78,2.19
72,Thinadhoo,74,MV,1563644946,78,0.53,72.93,82.96,14.09
73,Barrow,83,AR,1563644900,48,-38.31,-60.23,62.26,12.62
74,Varkkallai,75,IN,1563644946,100,8.73,76.71,75.2,6.93
75,Chapais,90,CA,1563644947,78,49.78,-74.86,71.6,12.75
76,Vaini,96,IN,1563644828,92,15.34,74.49,77.38,5.06
77,Felanitx,0,ES,1563644947,36,39.47,3.15,90.64,12.75
78,Waipawa,0,NZ,1563644947,75,-39.94,176.59,48.99,4.0
79,Charters Towers,0,AU,1563644947,91,-20.07,146.27,50.92,1.97
80,Saint George,20,GR,1563644904,33,39.45,22.34,85.03,11.41
81,Tanhacu,48,BR,1563644948,54,-14.02,-41.25,72.16,9.24
82,Kalmunai,100,LK,1563644948,66,7.42,81.82,79.18,5.97
